 rotulo;Foz Rio Urubu
1/JANUARY/2016;None
2/JANUARY/2016;None
3/JANUARY/2016;None
4/JANUARY/2016;None
5/JANUARY/2016;None
6/JANUARY/2016;None
7/JANUARY/2016;None
8/JANUARY/2016;None
9/JANUARY/2016;None
10/JANUARY/2016;None
11/JANUARY/2016;None
12/JANUARY/2016;None
13/JANUARY/2016;None
14/JANUARY/2016;None
15/JANUARY/2016;None
16/JANUARY/2016;None
17/JANUARY/2016;None
18/JANUARY/2016;None
19/JANUARY/2016;None
20/JANUARY/2016;None
21/JANUARY/2016;None
22/JANUARY/2016;None
23/JANUARY/2016;None
24/JANUARY/2016;None
25/JANUARY/2016;None
26/JANUARY/2016;None
27/JANUARY/2016;None
28/JANUARY/2016;None
29/JANUARY/2016;None
30/JANUARY/2016;None
31/JANUARY/2016;None
1/FEBRUARY/2016;None
2/FEBRUARY/2016;None
3/FEBRUARY/2016;None
4/FEBRUARY/2016;None
5/FEBRUARY/2016;None
6/FEBRUARY/2016;None
7/FEBRUARY/2016;None
8/FEBRUARY/2016;None
9/FEBRUARY/2016;None
10/FEBRUARY/2016;None
11/FEBRUARY/2016;None
12/FEBRUARY/2016;None
13/FEBRUARY/2016;None
14/FEBRUARY/2016;None
15/FEBRUARY/2016;None
16/FEBRUARY/2016;None
17/FEBRUARY/2016;None
18/FEBRUARY/2016;None
19/FEBRUARY/2016;None
20/FEBRUARY/2016;None
21/FEBRUARY/2016;None
22/FEBRUARY/2016;None
23/FEBRUARY/2016;None
24/FEBRUARY/2016;None
25/FEBRUARY/2016;None
26/FEBRUARY/2016;None
27/FEBRUARY/2016;None
28/FEBRUARY/2016;None
29/FEBRUARY/2016;None
30/FEBRUARY/2016;None
31/FEBRUARY/2016;None
1/MARCH/2016;None
2/MARCH/2016;None
3/MARCH/2016;None
4/MARCH/2016;None
5/MARCH/2016;None
6/MARCH/2016;None
7/MARCH/2016;None
8/MARCH/2016;None
9/MARCH/2016;None
10/MARCH/2016;None
11/MARCH/2016;None
12/MARCH/2016;None
13/MARCH/2016;None
14/MARCH/2016;None
15/MARCH/2016;None
16/MARCH/2016;None
17/MARCH/2016;None
18/MARCH/2016;None
19/MARCH/2016;None
20/MARCH/2016;None
21/MARCH/2016;None
22/MARCH/2016;None
23/MARCH/2016;None
24/MARCH/2016;None
25/MARCH/2016;None
26/MARCH/2016;None
27/MARCH/2016;None
28/MARCH/2016;None
29/MARCH/2016;None
30/MARCH/2016;None
31/MARCH/2016;None
1/APRIL/2016;None
2/APRIL/2016;None
3/APRIL/2016;None
4/APRIL/2016;None
5/APRIL/2016;None
6/APRIL/2016;None
7/APRIL/2016;None
8/APRIL/2016;None
9/APRIL/2016;None
10/APRIL/2016;None
11/APRIL/2016;None
12/APRIL/2016;None
13/APRIL/2016;None
14/APRIL/2016;None
15/APRIL/2016;None
16/APRIL/2016;None
17/APRIL/2016;None
18/APRIL/2016;None
19/APRIL/2016;None
20/APRIL/2016;None
21/APRIL/2016;None
22/APRIL/2016;None
23/APRIL/2016;None
24/APRIL/2016;None
25/APRIL/2016;None
26/APRIL/2016;None
27/APRIL/2016;None
28/APRIL/2016;None
29/APRIL/2016;None
30/APRIL/2016;None
31/APRIL/2016;None
1/MAY/2016;None
2/MAY/2016;None
3/MAY/2016;None
4/MAY/2016;None
5/MAY/2016;None
6/MAY/2016;None
7/MAY/2016;None
8/MAY/2016;None
9/MAY/2016;None
10/MAY/2016;None
11/MAY/2016;None
12/MAY/2016;None
13/MAY/2016;None
14/MAY/2016;None
15/MAY/2016;None
16/MAY/2016;None
17/MAY/2016;None
18/MAY/2016;None
19/MAY/2016;None
20/MAY/2016;None
21/MAY/2016;None
22/MAY/2016;None
23/MAY/2016;None
24/MAY/2016;None
25/MAY/2016;None
26/MAY/2016;None
27/MAY/2016;None
28/MAY/2016;None
29/MAY/2016;None
30/MAY/2016;None
31/MAY/2016;None
1/JUNE/2016;None
2/JUNE/2016;None
3/JUNE/2016;None
4/JUNE/2016;None
5/JUNE/2016;None
6/JUNE/2016;None
7/JUNE/2016;None
8/JUNE/2016;None
9/JUNE/2016;None
10/JUNE/2016;None
11/JUNE/2016;None
12/JUNE/2016;None
13/JUNE/2016;None
14/JUNE/2016;None
15/JUNE/2016;None
16/JUNE/2016;None
17/JUNE/2016;None
18/JUNE/2016;None
19/JUNE/2016;None
20/JUNE/2016;None
21/JUNE/2016;None
22/JUNE/2016;None
23/JUNE/2016;None
24/JUNE/2016;None
25/JUNE/2016;None
26/JUNE/2016;None
27/JUNE/2016;None
28/JUNE/2016;None
29/JUNE/2016;None
30/JUNE/2016;None
31/JUNE/2016;None
1/JULY/2016;None
2/JULY/2016;None
3/JULY/2016;None
4/JULY/2016;None
5/JULY/2016;None
6/JULY/2016;None
7/JULY/2016;None
8/JULY/2016;None
9/JULY/2016;None
10/JULY/2016;None
11/JULY/2016;None
12/JULY/2016;None
13/JULY/2016;None
14/JULY/2016;None
15/JULY/2016;None
16/JULY/2016;None
17/JULY/2016;None
18/JULY/2016;None
19/JULY/2016;None
20/JULY/2016;None
21/JULY/2016;None
22/JULY/2016;None
23/JULY/2016;None
24/JULY/2016;None
25/JULY/2016;None
26/JULY/2016;None
27/JULY/2016;None
28/JULY/2016;None
29/JULY/2016;None
30/JULY/2016;None
31/JULY/2016;None
1/AUGUST/2016;None
2/AUGUST/2016;None
3/AUGUST/2016;None
4/AUGUST/2016;None
5/AUGUST/2016;None
6/AUGUST/2016;None
7/AUGUST/2016;None
8/AUGUST/2016;None
9/AUGUST/2016;None
10/AUGUST/2016;None
11/AUGUST/2016;None
12/AUGUST/2016;None
13/AUGUST/2016;None
14/AUGUST/2016;None
15/AUGUST/2016;None
16/AUGUST/2016;None
17/AUGUST/2016;None
18/AUGUST/2016;None
19/AUGUST/2016;None
20/AUGUST/2016;None
21/AUGUST/2016;None
22/AUGUST/2016;None
23/AUGUST/2016;None
24/AUGUST/2016;None
25/AUGUST/2016;None
26/AUGUST/2016;None
27/AUGUST/2016;None
28/AUGUST/2016;None
29/AUGUST/2016;None
30/AUGUST/2016;None
31/AUGUST/2016;None
1/SEPTEMBER/2016;None
2/SEPTEMBER/2016;None
3/SEPTEMBER/2016;None
4/SEPTEMBER/2016;None
5/SEPTEMBER/2016;None
6/SEPTEMBER/2016;None
7/SEPTEMBER/2016;None
8/SEPTEMBER/2016;None
9/SEPTEMBER/2016;None
10/SEPTEMBER/2016;None
11/SEPTEMBER/2016;None
12/SEPTEMBER/2016;None
13/SEPTEMBER/2016;None
14/SEPTEMBER/2016;None
15/SEPTEMBER/2016;None
16/SEPTEMBER/2016;None
17/SEPTEMBER/2016;None
18/SEPTEMBER/2016;None
19/SEPTEMBER/2016;None
20/SEPTEMBER/2016;None
